id,user_id,role,created_at
043255e6-c70d-4d99-ba04-0481c93e31a1,204ac79e-2a12-4194-8f4f-429675f42b6a,admin,2026-06-15 09:50:49.209981+00
dbf72149-878c-49b4-9cd2-454e47e81913,6df789e2-9382-4f92-8e75-41806c9d1629,admin,2026-06-15 10:09:56.314287+00
e6c76b4a-2c09-4123-89e7-385ec6282adc,52acb17d-7a35-4cd0-b686-cc759432b6eb,technician,2026-06-18 21:25:58.071417+00
